"report_date,""location"",""location_type"",""data_field"",""data_field_code"",""time_period"",""time_period_type"",""value"",""unit"""
"2016-06-11,""Nicaragua"",""country"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,206,""cases"""
"2016-06-11,""Nicaragua"",""country"",""total_zika_confirmed_pregnant_cumulative"",""NI0004"",NA,NA,40,""cases"""
"2016-06-11,""Nicaragua"",""country"",""normal_birth_confirmed_zika"",""NI0006"",NA,NA,9,""cases"""
"2016-06-11,""Nicaragua"",""country"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,212,""cases"""
"2016-06-11,""Nicaragua"",""country"",""total_zika_confirmed_pregnant_cumulative"",""NI0004"",NA,NA,42,""cases"""
