location,location_type,value,unit
Nicaragua,country,5465100,pessoas
Ecuador,country,16144000,pessoas
El_salvador,country,6383752,pessoas
Guatemala,country,14373472,pessoas
Dominican_Republic,country,9378818,pessoas
